Item,Product Link,Supplier,Price,Quantity
3D printed top part,https://www.polymate.tech/3d-printing-orders,Polymate,3.00 SGD/pcs,1
3D printed bottom part,https://www.polymate.tech/3d-printing-orders,Polymate,3.00 SGD/pcs,1
Limit switch,https://amzn.asia/d/4A6GOT8,Amazon,22.08 SGD,1
3.5mm male mono audio jack cable,https://sg.shp.ee/Wysp8yu,Shopee,5.42 SGD/10pcs,1
M3 x 20mm partially threaded screw,https://sg.shp.ee/Db9QmNu,Shopee,6.16 SGD/3pcs,2
M3 x 6mm screw,https://sg.shp.ee/EN4TQR4,Shopee,1.80 SGD/pcs,1
M4 x 16mm bolt,https://sg.shp.ee/2jGwF62,Shopee,1.67 SGD/5pcs,2
M4 x 30mm bolt,https://sg.shp.ee/zS49WkP,Shopee,1.90 SGD/5pcs,2
M4 nut,https://sg.shp.ee/pazvoqT,Shopee,1.87 SGD/20pcs,4
Camera Screw Nut 1/4 To 3/8 Inch Convert Screws,https://s.lazada.sg/s.UWzmc?c=b,Lazada,2.77 SGD/5pcs,1
Bicycle soft handle grip,https://shop.daisosingapore.com.sg/products/4550480051574,Daiso,2.18 SGD/2pcs,1
Soft ball,https://sg.shp.ee/dVmJJah,Shopee,0.73 SGD/pcs,1
